ID,WR#,Reference,HD,Alias1,Alias2,Alias3,Right Ascension,Declination J2000,Galactic Longitude,Galactic Latitude,Spectral Type,Reference,Binary Status,Binary Reference,u,b,v,r,U,B,V,G,J,H,K,Cluster,Association,Star Forming Region,Distance,DistanceRef
61,42c,VII,,,SMSP 11,,11 14 01.47,-61 03 47.7,291.4228,-0.3872,WN5o,SMS99,,,,17.92,16.56,,,,,14.47,11.149,10.468,9.899,,,RM10 SFC28?,6.72,RC20 (e flag)
62,42d,VII,,,SMSP 12,,11 14 38.63,-61 11 16.3,291.538,-0.4758,WN5b,SMS99,,,,16.61,15.28,,,,,13.65,10.2,9.518,8.909,,,RM10 SFC28?,3.2,RC20
63,43A,VII,HD97950 A1,,,,11 15 07.47,-61 15 38.16,291.62,-0.52,WN6ha+WN6ha,CD98,SB2,SCC08,,,,,,,11.18,,7.98,7.79,7.21,NGC 3603 ,,G291.6-0.5/RM10 SFC28,7.6,MMM08
64,43B,VII,HD97950 B,,,,11 15 07.58,-61 15 38.32,291.62,-0.52,WN6ha,CD98,,"SCM02, SCC08",,,,,,12.34,11.33,,7.78,7.7,7.08,NGC 3603,,G291.6-0.5/RM10 SFC28,7.6,MMM08
65,43C,VII,HD 97950 C,,,,11 15 07.76,-61 15 37.75,291.62,-0.52,O3If*/WN6,CW11,,"SCM02, SCC08",,,,,,12.94,11.89,,8.49,8.13,7.81,NGC 3603,,G291.6-0.5/RM10 SFC28,7.6,MMM08
66,43-1,SM09,,,SMG09 740_21,,11 16 03.52,-61 26 58.3,291.791,-0.6582,WN4b,SMG09,,,,,,,,16.76,16.82,18.94,13.16,11.57,10.47,,,G291.7-0.6/RM10 SFC28?,1.34,"RC20 (e,a flag)"
67,44,VII,,,LSS 2289,,11 16 57.83,-59 26 23.8,291.1754,1.258,WN4o+OB?,SSM96,d.e.l.,"CM89,VII",,13.33,12.96,,,,,12.53,7.91,6.93,6.59,,,,6.07,RC20
68,44a,VII,,,SMSP 13,,11 18 43.09,-61 26 35.8,292.0859,-0.5395,WN5b,SMS99,,,,17.75,16.2,,,,,15.2,,,,,,,5.06,RC20
69,44-1,SM09,,,SMG09 740_16,,11 19 43.01,-61 27 12.3,292.2103,-0.5074,WCE,SMG09,,,,,,,,13.67,12.35,16.13,11.5,10.987,10.326,,,,2.67,"RC20 (n,e,a flags)"
70,45,VII,,,LSS 2423,,11 38 05.08,-62 16 01.9,294.5124,-0.6005,WC6,VI,,,,15.92,14.8,14.08,,,14.1,13.24,10.6,9.99,9.2,,,,4.25,RC20
71,45-1,HD07,,,HDM 1,,11 42 37.64,-62 41 19.2,295.132,-0.8636,WN9-10h,HD07,,,,,,,,18.5,,15.58,11.496,10.54,9.813,,,,4.88,RC20 (e flag)
72,45-2,SM09,,,SMG09 768_6,,11 46 06.64,-62 47 12.7,295.5428,-0.8561,WN5,SMG09,,,,,,,,15.56,17.17,15.46,12.15,11.36,10.78,,,,4.39,RC20
73,45a,VII,,,SMSNPL 1,,11 46 18.14,-61 24 41.5,295.2208,0.4812,WN5o,SMS99,,,,17.88,16.69,,,17.2,,15.12,11.904,11.236,10.732,,,,3.79,RC20
74,45b,VII,,,SMSNPL 2,,11 48 46.02,-62 23 02.6,295.7404,-0.3906,WN4b,SMS99,,,,19.48,18.08,,,17,,15.09,11.45,10.609,9.918,,,,5.95,"RC20 (n,e flags)"
75,45-3,SM09,,,SMG09 772_17,,11 50 04.23,-62 52 15.4,296.0018,-0.8278,"WN6, WN5b","SMG09, RC15",,,,,,,,18.23,,16.82,12.57,11.58,10.94,,,,5.21,RC20 (n flag)
76,45-4,SM09,,,SMG09 773_3,MV09 J11555211-6245022,11 55 52.10,-62 45 02.3,296.6202,-0.5619,WN6,SMG09; MV09,,,,,,,,18.38,,15.54,11.65,10.76,10.14,,,,5.65,RC20 (e flag)
77,45c,VII,,,SMSNPL 3,,11 56 04.74,-62 44 05.1,296.6404,-0.5412,WN5o,SMS99,,,,16.35,15.44,,,15.1,,14,11.354,10.789,10.322,,,,6.14,RC20
78,46,VII,HD 104994,HIP 58954,,,12 05 18.71,-62 03 10.1,297.556,0.3365,WN3b pec,SSM96,"d.e.l., SB1?","CM89,VG95,NB95,MM96,MMH98,MA00,VGC02,VGH02,VII",10.71,10.84,10.87,10.9,9.95,10.77,10.58,10.7,10.199,10.079,9.834,,Cru OB4?,,2.6,RC20
79,46-1,HD07,,,HDM 2,,12 06 56.47,-62 38 30.4,297.8451,-0.2103,WN6o,HD07,,,,,,,,17.8,,15.07,11.547,10.818,10.222,,,,4.72,RC20 (e flag)
80,46-7,MV09,,,,MV09 J12100795-6244194,12 10 07.95,-62 44 19.4,298.2222,-0.2453,WC5-7; WC5-7vd,MV10; Wil19,Var dust (P = 1.49y?),Wil19,,,,,,,,18.26,12.753,11.082,9.741,,,G298.2-0.3/RM10 SFC29?,3.06,RC20 (e flag)
81,46-8,MV09,,,,MV09 J12110256-6257476,12 11 02.55,-62 57 47.6,298.3601,-0.4506,WN6,MV10,,,,,,,,,,17.43,12.017,10.702,9.845,,Dragonfish,RM10 SFC29,2.59,RC20
82,46-9,MV09,,,,MV09 J12121681-6246145,12 12 16.80,-62 46 14.6,298.4699,-0.2387,"WN4-6, WN5","MV10, RC15",,,,,,,,,,17.49,12.07,10.72,9.88,,Dragonfish,RM10 SFC29,3.05,RC20 (e flag)
83,46a,VII,,,SMSNPL 4,,12 13 02.34,-63 42 25.4,298.6948,-1.1517,WN4o,SMS99,,,,17.04,16,,,16.7,,14.88,12.076,11.418,10.919,,,,6.73,RC20
84,46-10,SM09,,,SMG09 791_12c,,12 13 28.27,-62 41 43.0,298.5936,-0.1438,WCE,SMG09,,,,,,,,,,19.36,14.05,13.67,11.53,,Dragonfish,RM10 SFC29,1.25,RC20 (a flag) 
85,46-2,HD07,,,HDM 3,,12 13 38.78,-63 08 58.1,298.6798,-0.5901,WN7h,HD07,,,,,,,,17.7,,14.63,10.56,9.644,9.032,,Dragonfish,RM10 SFC29,3.81,RC20
86,46-3,KB07,,,KBG2007-4,Mercer30-1,12 14 31.53,-62 58 54.3,298.7541,-0.4098,WN7-8; O6-7.5If+,KB07; FNB16,,,,,,,,,,15.3,10.33,9.06,8.54,Mercer 30,Dragonfish,RM10 SFC29,4.07,"RC20 (n,e flags)"
87,46-4,KB07,,,KBG2007-3,Mercer30-6a,12 14 31.71,-62 58 52.1,298.7544,-0.4091,Ofp/WN; Ofpe/WN9,KB07; FNB16,,,,,,,,,,15.81,10.39,9.56,9.02,Mercer 30,Dragonfish,RM10 SFC29,2.81,"RC20 (n,a flags)"
88,46-5,KB07,,,KBG2007-2,Mercer30-7,12 14 33.08,-62 58 51.0,298.7569,-0.4085,WN6,KB07; FNB16,,,,,,,,,,16.53,11.516,10.25,9.67,Mercer 30,Dragonfish,RM10 SFC29,3.73,"RC20 (n,e flags)"
89,46-6,KB07,,,KBG2007-1,Mercer30-8,12 14 33.90,-62 58 48.7,298.7583,-0.4076,WN7,KB07; FNB16,,,,,,,,,,16.86,11.658,10.3,9.64,Mercer 30,Dragonfish,RM10 SFC29,3.93,"RC20 (n,e flags)"
90,46-11,SM09,,,SMG09 808_14,,12 28 41.90,-63 25 46.1,300.3922,-0.6699,WCE,SMG09,,,,,,,,20.28,,16.97,12.78,11.83,10.94,,,,4.85,RC20 (n flag)
91,46-12,SM09,,,SMG09 808_23,MV09 J12285099-6317002,12 28 50.98,-63 17 00.1,300.3963,-0.5229,WN5; WN4-5; WN4b,SMG09; MV09; RC15,,,,,,,,,,18.04,13.56,12.55,11.84,,,,3,RC20 (e flag)
92,46-13,SM09,,,SMG09 807_16,,12 30 03.86,-62 50 17.1,300.4954,-0.0675,WC7,SMG09,,,,,,,,,,17.84,13.16,12.05,11.09,,,,3.58,"RC20 (n,e flags)"
