ID,WR#,Reference,HD,Alias1,Alias2,Alias3,Right Ascension,Declination J2000,Galactic Longitude,Galactic Latitude,Spectral Type,Reference,Binary Status,Binary Reference,u,b,v,r,U,B,V,G,J,H,K,Cluster,Association,Star Forming Region,Distance,DistanceRef
366,115-1,HD07,,,HDM 11,,18 25 53.09,-13 28 32.3,18.0548,-0.5707,WN6o,HD07,,,,,,,,,,13.94,10.317,9.521,8.962,,,,3.19,RC20
367,116,VII,,,[S66] 1,AS 306,18 27 04.29,-12 22 52.7,19.1578,-0.3165,WN8h,SSM96,,MMEv98,14.6,13.79,13.38,14.43,,,16.68,11.5,8.209,7.566,6.955,,,,2.44,RC20
368,116-1,MV09,,,UCAC2 28237237,,18 28 11.80,-10 25 42.4,21.0147,0.348,WC9+OBI,MV10,,,,,,,,17.9,,12.74,8.36,6.93,5.629,,,,2.58,RC20
369,116-2,SM09,,,SMG09 1462_54,,18 29 33.84,-08 39 02.2,22.746,0.8747,WN5,SMG09,,,,,,,,,,19.69,14.07,12.75,11.93,,,,2.09,"RC20 (n,e,a flags)"
370,117,VII,,,[M82] 15,IC14-22,18 31 02.51,-06 35 49.7,24.7362,1.5007,WC9d,SS90,,,,15.34,14.19,,,,,12.46,9.668,8.493,7.355,(Dolidze 29),,,3.66,RC20
371,117-1,MWC10,,,MDM11 38,UCAC3 160-180469,18 31 16.53,-10 09 25.1,21.6064,-0.1971,WN8; WN7,MWC10; MDM11,,,,,,,,,,13.12,9.09,8.29,7.63,,,,3.41,RC20 (e flag)
372,118,VII,,,AFGL 2179,IRAS 18289-1001,18 31 42.21,-09 59 16.8,21.805,-0.2124,WC9d,CV90,,,,25,22,,,,,15.18,8.1,5.41,3.65,,,,2.49,"RC20 (e,a flag)"
373,118-3,MDI09,,,MDI09 Quartet 1,,18 36 17.28,-07 05 07.1,24.9033,0.1201,WN9,MDI09,,,,,,,,,,18.09,10.34,8.4,7.38,Quartet,,G24.78+0.08/RM10 SFC10?,0.7,RC20 (a flag)
374,118-2,MDI09,,,MDI09 Quartet 2,,18 36 16.68,-07 04 59.4,24.904,0.1233,WN9,MDI09,,,,,,,,,,17.86,10.57,8.66,7.58,Quartet,,G24.78+0.08/RM10 SFC10?,2.41,"RC20 (e,a flag)"
375,118-1,MDI09,,,MDI09 Quartet 5,,18 36 16.33,-07 05 17.00,24.899,0.122,WC9; WC9d,MDI09; RC15,,,,,,,,,,,13.22,10.14,8.09,Quartet,,G24.78+0.08/RM10 SFC10?,6,MDI09
376,119,VII,,,LSWR 15,THA 20-1,18 39 17.90,-10 05 31.0,22.5726,-1.9204,WC9d,WH00,,,13.65,13.04,12.41,12.21,,,,11.57,9.5,8.43,7.265,,,,3.22,RC20
377,119-1,HD07,,,HDM 12,,18 40 08.65,-03 29 31.2,28.5366,0.9159,WN7o,HD07,,,,,,,,,,15.85,11.766,10.864,10.295,,,,4.27,"RC20 (n,e flags)"
378,120,VII,,,Vy1-3,V462 Sct,18 41 00.87,-04 26 14.5,27.7955,0.2901,WN7o,SSM96,,MMEv98,13.86,13.32,12.3,11.63,13.1,12.99,11.94,11.22,,,,Dolidze 33:,,,1.5,RC20
379,120-1,HD07,,,HDM 13,,18 41 10.70,-04 51 27.1,27.4406,0.0615,WC9,HD07,,,,,,,,,,15.26,11.05,10.17,9.445,,,,2.94,RC20 (e flag)
380,120-2,SM09,,,SMG09 1509_29,SCB12 2w01,18 41 48.49,-04 00 12.4,28.27,0.31,WC7,SMG09; SCB12,,,,,,,,,,,15.95,13.88,12.27,,,,,
381,120-3,MW10,,,[GKF2010] MN85,WR120bb,18 42 06.31,-03 48 22.5,28.4811,0.337,WN8-9h; WN9h,MW10; BGS12,,,,,,,,,,18.68,11.95,10.22,9.16,,,,1.08,RC20 (a flag)
382,120-4,MW10,,,[GKF2010] MN86,WR120bc,18 42 08.27,-03 51 03.0,28.4452,0.3094,WN8-9h; WN9h,MW10; BGS12,,,,,,,,,,18.27,11.85,10.26,9.27,,,,2.33,"RC20 (n,e,a flags)"
383,120-5,MW10,,,SCB12 2w02,,18 42 08.47,-03 49 35.3,28.4672,0.3198,WC8,MW10; SCB12,,,,,,,,,,18.24,12.24,11,10.06,,,,1.98,"RC20 (n,e,a flags)"
384,120-6,WM10,,,WM10 50,PN A66 48,18 42 46.92,-03 13 17.3,29.0784,0.4542,WN6,WM10,,,,,,,,,,16.78,13.508,12.834,12.325,,,G29.1+0.4,3.14,RC20
385,121,VII,,HIP 91911,AS 320,V1485 Aql,18 44 13.15,-03 47 57.8,28.7282,-0.1288,WC9d,VI,,MMH98,14.26,13.38,12.41,12.01,13.7,13.34,11.94,11.08,8.295,7.056,5.773,,(Anon. Sct OB),RM10 SFC13?,2.33,RC20
386,121a,VII,,,W43 1,,18 47 36.00,-01 56 32.90,30.77,-0.03,WN7+a/OB?; WN7,BD99; AGK11,d.e.l.,BD99,,,,,,,,,14.85,11.01,8.66,W43 cluster,,W43/RM10 SFC17,7,SB78
387,121-1,GK10; WM10,,,WM10 52,,18 49 27.34,-01 04 20.7,31.7515,-0.048,WN7h,GK10; WM10,,,,,,,,,17.15,15.21,10.943,10.07,9.473,,,,3.19,RC20 (e flag)
388,123,VII,HD 177230,HIP 93626,V1402 Aql,,19 03 59.02,-04 19 02.0,30.5096,-4.7543,WN8o,SSM96,"SB1?, no d.e.l.","MS86,CM89,MM98,MMH98,MMEv98,VII",11.93,11.69,11.26,10.96,11.32,11.6,11.12,10.86,9.524,9.282,8.917,,,,5.35,RC20
389,123-2,SM09,,,SMG09 1613_21,,19 06 36.53,+07 29 52.40,41.33,0.07,WCE,SMG09,,,,,,,,,,,14.24,12.65,11.61,,,,,
390,123-1,HD07,,,HDM 14,,19 08 17.97,+08 29 10.5,42.3995,0.1482,WN6o,HD07,,,,,,,,,,15.59,10.592,9.47,8.707,,,,2.67,RC20 (e flag)
391,124,VII,,HIP 94289,QR Sge,209 BAC,19 11 30.87,+16 51 38.1,50.198,3.31,WN8h,SSM96,"SB1?, no d.e.l.","MS86,CM89,BE89,MMEv98,VII",12.81,12.39,11.58,10.92,,12.19,11.5,10.61,8.578,8.179,7.732,,,,5.87,RC20
392,124-1A,MDI09; FNT15,,,MDI09 GLIMPSE20 6,Mc20-10,19 12 24.13,+09 57 28.8,44.1724,-0.0699,WC8; WC5-7,RC15; FNT15,,,,,,,,,,19.17,,11.22,9.96,Mercer 20,,,2.34,"RC20 (n,e,a flags)"
393,124-2,SM09,,,SMG09 1671_5,,19 20 40.39,+13 50 35.1,48.5525,-0.0477,WC8,SMG09,,,,,,,,,,20.01,13.57,11.8,10.76,,,G48.60+0.02,2.77,"RC20 (n,a flags)"
394,125,VII,,,V378 Vul,IC14-36,19 28 15.61,+19 33 21.4,54.4445,1.0581,WC7ed+O9III,"WH94, Wil19",SB2; Ep dust (P~28.3yr),"MS86,WH92,WH94,Wi97,Wi02; Wil19",15.66,14.84,13.52,12.68,,,,11.94,9.298,8.74,8.214,,,,3.36,RC20
395,125-3,HKB10,,,Mercer23 2,,19 30 13.56,+18 32 02.4,53.7696,0.161,WN7-8h; WN7ha,"HKB10, FND13; RC15",,,,,,,,,,12.81,8.646,7.835,7.332,Mercer 23,,,2.93,"RC20 (n,e flags)"
396,125-1,HD07,,,HDM 15,,19 33 44.01,+19 22 47.4,54.9104,-0.1578,WC8; WC8ed,HD07; W19,,,,,,,,16.3,,13.33,10.196,9.607,9.074,,,,4.8,RC20
397,126,VII,,,[S66] 2,[KW97] 38-41,19 39 56.19,+26 34 42.4,61.8909,2.1112,WC5/WN,CV90,,,14.45,13.99,13.29,12.82,,,,12.42,10.703,10.397,10.09,,(Vul OB2),,7.57,RC20
398,127,VII,HD 186943,HIP 97281,He3-1772,,19 46 15.94,+28 16 19.0,64.0594,1.7334,WN3b+O9.5V,SSM96,SB2 (9.56d),"Ma81,MS86,SM89,LM96, MMH98; CMC11",10.61,10.48,10.33,10.22,9.86,10.56,10.29,10,9.182,9.015,8.761,,(Vul OB2),,3.09,RC20
399,128,VII,HD 187282,HIP 97456,QT Sge,,19 48 32.20,+18 12 03.6,55.6153,-3.7865,WN4(h),SSM96,SB2?,"La83,AC85,MS86,CM89",10.43,10.53,10.54,10.57,9.59,10.49,10.44,10.35,9.969,9.836,9.623,,,,2.9,RC20
400,129,VII,,,MR 96,[KW97] 39-51,19 48 18.26,+30 26 52.6,66.1649,2.4441,WN4o,SSM96,,,14.13,13.82,13.27,12.86,,,,12.71,11.083,10.72,10.404,,,,5.47,RC20
401,130,VII,,,V2180 Cyg,LSWR 16,19 59 12.69,+31 27 08.9,68.2298,0.9555,WN8(h),SSM96,,MMEv98,14.61,13.78,12.6,11.675,14.16,13.68,12.14,11.23,,,,,,,6.67,RC20 (n flag)
402,131,VII,,HIP 98466,MR 97,[KW97] 41-39,20 00 19.12,+33 15 51.0,69.8949,1.7078,WN7h+abs,SSM96,"a, d.e.l.","CM89,VII",13.56,13.09,12.36,11.82,12.93,13.05,12.08,11.52,9.516,9.148,8.855,,,,6.92,RC20
403,132,VII,HD 190002,,[KW97] 41-54,,20 01 39.73,+32 34 17.9,69.4551,1.1029,WC6+?,VI,SB1,BF83,14.68,14.19,13.49,13.13,13.83,13.42,12.67,12.12,10.178,9.855,9.046,,,,4.15,RC20
404,133,VII,HD 190918,HIP 99002,V1676 Cyg,,20 05 57.32,+35 47 18.0,72.6516,2.0651,WN5o+O9I,SSM96,"SB2, VB (112.8d)","SM89,Be94,UH94,Be95,Hip97,MMH98,NG99a,RLS21",6.79,6.7,6.7,6.71,6.2,6.9,6.77,6.73,6.319,6.315,6.247,(NGC 6871),,,1.85,RC20
405,134,VII,HD 191765,HIP 99377,V1769 Cyg,,20 10 14.19,+36 10 34.9,73.4468,1.5466,WN6b,SSM96,"SB1?, no d.e.l","MS86,CM89,RM89,MM93,McB94,MMH98,MM99,NG99a,VII",8.46,8.43,8.23,8.07,7.58,8.25,7.99,7.74,6.72,6.52,6.16,,(Cyg OB3),,1.75,RC20
406,135,VII,HD 192103,HIP 99525,V1042 Cyg,,20 11 53.52,+36 11 50.4,73.6472,1.2784,WC8,VI,,"MS86,NG99a,LD00",8.44,8.33,8.36,8.43,7.78,8.32,8.09,7.88,7.232,7.113,6.663,,Cyg OB3:,,1.98,RC20
407,136,VII,HD 192163,HIP 99546,V1770 Cyg,,20 12 06.53,+38 21 17.7,75.4756,2.4262,WN6b(h),SSM96,"SB1?, no d.e.l.","KF80,AC85,As82,VA85,MS86,CM89,RM89,SS96,NG99a,VII",7.92,7.88,7.65,7.47,7.05,7.65,7.44,7.18,6.127,5.899,5.561,,(Cyg OB1),,1.93,RC20
408,137,VII,HD 192641,HIP 99769,V1679 Cyg,,20 14 31.76,+36 39 39.5,74.3267,1.0917,WC7pd+O9; WC7ed+O9 ,"SS90,WK01,RSR16,Wil19",SB2 (P~13.05yr),"MS86,An95,Wi97,NG99a,WH99,An00,WK01,Wi02; Wil19",8.51,8.29,8.15,8.08,7.71,8.27,7.92,7.75,6.98,6.767,6.185,Dolidze 3?,Cyg OB1,,2.1,RC20
409,138,VII,HD 193077,HIP 99982,He 3-1866,,20 17 00.02,+37 25 23.7,75.2345,1.1066,WN5o+B?; WN6o+O,SSM96; CW11,"SB2, VB (P=1521d)","LM82,MS86,An91,Hip97,MMH98,NG99a, PRD13, RSR16",8.54,8.32,8.1,7.95,7.75,8.43,8.06,7.92,6.965,6.796,6.581,,Cyg OB1,,2.47,RC20
410,138-1,GF09; VCM10,,,WR138a,HBHA 4202-22,20 17 08.11,+41 07 26.9,78.3202,3.1536,WN8-9h,GF09; VCM10,,,,,,,,17.25,15.44,13.82,10.152,9.265,8.649,,,,12.51,"RC20 (n,e flags)"
411,139,VII,HD 193576,HIP 100214,V444 Cyg,,20 19 32.42,+38 43 53.9,76.598,1.4287,WN5o+O6III-V,SSM96,SB2 (P=4.2d),"MS86,SM89,RM90,MMK94,Hip97,MMH98,NG99a",8.84,8.48,8.1,7.85,8.02,8.52,8,7.75,6.697,6.52,6.327,(Berkeley 86),(Cyg OB1),,1.31,RC20
412,140,VII,HD 193793,HIP 100287,V1687 Cyg,,20 20 27.97,+43 51 16.3,80.9302,4.1771,WC7pd+O4-5; WC7ed+O5,WH90; Wil19,"SB2, VB; CWB (P=7.94yr)","MS86,WHW87,ML87,SM89,WH90,An95,HaM99,NG99a,Wi02; MTS04; Wil19",7.64,7.34,7.07,6.91,6.9,7.34,6.87,6.62,5.55,5.43,5.04,,,,1.64,RC20
413,141,VII,HD 193928,HIP 120155,V2183 Cyg,,20 21 31.73,+36 55 12.7,75.3285,0.0781,WN5o+O5V-III,SSM96,SB2 (P=21.7d),"MS86,SM89,GM91,LM96,MMEe98,IV99",11.43,10.85,10.14,9.53,10.71,10.66,9.68,9.33,7.339,6.929,6.535,,Cyg OB1,,1.92,RC20
414,142,VII,,,Sand 5,[KW97] 45-49,20 21 44.34,+37 22 30.4,75.7263,0.3027,WO2,CDB98,,,15.91,15.21,13.82,12.94,14.1,14.39,12.96,12.23,9.538,8.889,8.596,Berlekey 87,,,1.65,RC20
415,142a,VIIA,,,PCG02 1,[KW97] 46-21,20 24 06.20,+41 25 33.00,79.31,2.25,WC8,PGC02 ,,,,,,,,,,13.77,9.273,8.092,7.122,,Cyg OB2/OB9?,,1.81,RC20
416,143,VII,HD 195177,,[KW97] 47-1,,20 28 22.66,+38 37 18.9,77.4991,-0.0461,WC4+OB?,SS90,d.e.l.,"CM89,VII",13.97,13.16,11.95,11.17,13.42,12.67,11.46,10.8,8.579,8.102,7.458,,,,2.22,RC20
417,144,VII,,,HM19-1,HBHA 4203-49,20 32 03.02,+41 15 20.4,80.0431,0.9342,WC4,HH88,,,,,15.49,14.45,,,,12.87,9.407,8.593,7.71,,Cyg OB2,G80.0+0.9,1.75,RC20
418,145,VII,,,AS 422,V1923 Cyg,20 32 06.27,+40 48 29.5,79.6886,0.6609,WN7o/CE+?,SSM96,SB1,"RC89,SM89",15.37,14.18,12.55,11.37,,,12.3,10.63,7.373,6.714,6.239,,Cyg OB2,,1.46,RC20
419,145a,VII,,,Cyg X-3,,20 32 26.60,+40 57 09.00,79.84,0.69,WNE+cc,"KC92,HS00",SB1,"KB89,KC92,Ke93,CM94,KG96,MM96,SG96,HS00",,,23.9,,,,,,15.309,13.192,11.921,,,,,
420,146,VII,,,HM19-3,MR 112,20 35 47.08,+41 22 44.6,80.5605,0.4451,WC4; WC5; WC6+O8,SS90; CDB98; DW00,"SB2, VB","DW96,NS98,SB00",,16.29,13.91,12.27,,,,11.05,7.069,6.24,5.49,,,,1.1,RC20 (a flag)
421,147,VII,,,NS 6,AS 431,20 36 43.63,+40 21 07.4,79.8476,-0.3154,WN8(h)+B0.5V,SSM96; WD97,"SB2, VB","WD97,NS98,SB01",,17.04,14.89,12.75,,,,10.82,6.012,4.856,4.107,,,,1.79,"RC20 (n,a flags)"
422,148,VII,HD 197406,HIP 102088,AS 438,,20 41 21.54,+52 35 15.1,90.0811,6.4694,WN8h+,SSM96,"SB1, d.e.l.","MS80,DL86,MS86,CM89,Mo92,Hip97,MMEv98,PA00,VII",11.08,10.82,10.46,10.16,10.42,10.77,10.21,10.15,8.759,8.533,8.318,,,,9.47,RC20 (e flag)
423,149,VII,,,[S66] 4,HBHA 4703-52,21 07 11.69,+48 25 36.2,89.5265,0.6531,WN5o,SSM96,,,,15.9,14.7,13.92,,,,13.35,10.615,10.057,9.609,,,,4.89,RC20
424,150,VII,,,[S66] 5,HBHA 5204-07,21 50 05.57,+50 42 24.7,96.134,-2.4817,WC5,HH88,,,14.21,14,13.47,13.7,,,,12.26,10.723,10.313,9.602,,,,8.73,RC20
425,151,VII,,,CX Cep,HBHA 5704-45,22 09 33.44,+57 44 30.5,102.6571,1.3888,WN4o+O5V,SSM96,SB2 (P=2.13d),"MC81,SM89,SH89,LM93",13.42,13.02,12.37,11.89,12.78,12.91,12.12,11.71,9.76,9.364,9.008,,,,5.38,RC20
426,152,VII,HD 211564,,,HBHA 5704-12,22 16 24.03,+55 37 36.7,102.2305,-0.8857,WN3(h),SSM96,,,11.83,11.84,11.67,11.75,,,,11.4,10.486,10.316,10.044,,Cep OB1:,,4.36,RC20
427,153,VII,HD 211853,HIP 110154,GP Cep,,22 18 45.60,+56 07 33.9,102.7825,-0.6532,WN6o/CE+O6I; WN6o/CE+O3-6+B0:I+B1:V-III,SSM96; DMM02,SB2 (P=6.69d) + SB2 (3.47d),"Ma81,MS86,SM89,PS90,An94,LM96,NG99a,PA00, DMM02",9.56,9.35,9.08,8.9,8.87,9.41,9.01,8.81,7.781,7.599,7.413,,Cep OB1:,G102.9-0.7,4.06,RC20
428,154,VII,HD 213049,HIP 110836,HBHA 5705-66,,22 27 17.81,+56 15 11.7,103.8527,-1.1835,WC6,VI,,,12.12,11.9,11.54,11.39,,,,10.67,9.301,9.007,8.287,,Cep OB1:,,5.38,RC20
429,155,VII,HD 214419,HIP 111633,CQ Cep,,22 36 53.95,+56 54 20.9,105.3233,-1.294,WN6o+O9II-Ib,SSM96,SB2 (P=1.64d),"SB84,MS86,SM89,MM95,HH97,Hip97,MMH98,NG99a",9.19,9.03,8.75,8.58,8.44,9.26,8.83,8.71,7.482,7.34,7.161,,Cep OB1:,,2.99,RC20
430,156,VII,,HIP 113569,MR 119,AC +60 38562,23 00 10.12,+60 55 38.4,109.8241,0.9194,WN8h,SSM96,d.e.l.,"MS86,CM89,MMH98,MMEv98,VII",12.43,11.92,11.09,10.46,11.85,12.18,11.01,10.3,7.938,7.443,7.03,,,,4.1,RC20
431,157,VII,HD 219460,HIP 114791,,,23 15 12.39,+60 27 01.8,111.3338,-0.2363,WN5o(+B1II),SSM96,VB,"HH88,Hip97,MMH98,NG99a",10.82,10.37,9.91,9.63,10.72,11.11,10.5,10.26,,,,Markarian 50,,,2.57,RC20
432,158,VII,,HIP 117034,MR 112,AS 513,23 43 30.59,+61 55 48.1,115.0325,0.1046,WN7h,SSM96,d.e.l.,"CM89,AV92,VII",12.58,12.21,11.46,10.95,12.02,12.2,11.24,10.71,8.638,8.201,7.811,,,,5,RC20
433,159,VIIA,,,BCC 1,BD+62 2296B,23 47 20.38,+63 13 14.2,115.7855,1.2417,WN4,Ne03,,,,,,,,,11.2,10.53,,,,,,,1.82,RC20
511,60-5,R11b,,,WR60a,,14 06 03.60,-60 27 29.6,312.0081,1.0919,WC5-7; WC7,R11b; RC15,,,,,,,,,15.35,14.62,10.84,10.12,9.39,,,,2.44,RC20
512,70-10,SFZ12,,,SFZ12 1023-63L,,15 52 08.50,-54 16 58.0,327.39,-0.23,WC7: or [WC7],SFZ12; KSF16,,,,,,,,,,,16.13,15.06,14.37,,,RCW97/RM10 SFC33?,,
513,70-11,SFZ12,,,SFZ12 1042-25L,,16 00 25.26,-52 03 29.6,329.7723,0.6805,WN8; WN7,SFZ12; RC15,,,,,,,,,,17.82,12.02,10.65,9.88,,,,4.17,"RC20 (n,a flags)"
514,70-12,SFZ12,,,SFZ12 1038-22L,Mc70-7,16 00 26.31,-52 11 10.73,329.69,0.58,WC7:,SFZ12; FNT15,,,,,,,,,,19.7,11.53,10.2,9.29,Mc70,,,7.9,FNT15
515,72-3,SFZ12; MDM11,,,MDM11 18,SFZ12 1054-43L,16 10 06.26,-50 47 58.6,331.74,0.61,WC9; WC9d?,SFZ12; MDM11,,,,,,,,,,,15.62,13.05,11.53,,,,,
516,72-4,SFZ12,,,SFZ12 1051-67L,,16 10 06.67,-51 47 24.5,331.07,-0.11,WC7:,SFZ12,,,,,,,,,,,14.86,12.63,11.24,,,G331.03-0.15,,
517,74-3,SFZ12,,,SFZ12 1077-55L,,16 24 22.70,-49 00 42.3,334.63,0.3,WC6:,SFZ12,,,,,,,,,,,15.15,13.13,11.97,,,,,
518,75-14,SFZ12,,,SFZ12 1085-72L,,16 27 42.39,-48 30 34.2,335.37,0.25,WC8-9; WC9,SFZ12; RC15,,,,,,,,,,,14.5,12.37,11.21,,,,,
519,75-15,SFZ12,,,SFZ12 1085-69L,,16 28 40.25,-48 18 12.9,335.63,0.28,WC8; WC8d,SFZ12; W19,,,,,,,,,,,14.73,13.16,11.5,,,,,
520,75-16,SFZ12,,,SFZ12 1085-83L,,16 29 35.82,-48 19 34.2,335.72,0.15,WC8:,SFZ12,,,,,,,,,,,16.7,13.49,11.83,,,,,
521,75-17,SFZ12,,,SFZ12 1093-138L,,16 32 15.22,-47 56 12.7,336.31,0.1,WC8:,SFZ12,,,,,,,,,,,16,14.17,12.75,,,,,
522,75-18,ABK11,,,SFZ12 1093-140LB,AX J163552-4746,16 32 48.55,-47 45 06.2,336.51,0.16,Ofpe/WN9; WN9,AGK11; SFZ12,,,,,,,,,,,13.36,<10.89,>9.27,,,,,
523,75-19,SFZ12,,,SFZ12 1093-140L,,16 32 49.78,-47 44 31.4,336.52,0.16,WC7:,SFZ12,,,,,,,,,,,16.15,13.97,12.28,,,,,
524,75-20,SFZ12,,,SFZ12 1091-46L,,16 33 14.06,-48 17 37.2,336.16,-0.26,WC8,SFZ12,,,,,,,,,,,13.93,11.76,10.02,,,,,
525,75-9,SFZ12; MDM11,,,MDM11 24,SFZ12 1093-59L,16 33 45.45,-47 51 29.1,336.54,-0.03,WC9+late; WC8-9d?,SFZ12; MDM11,,,,,,,,,,,15.56,12.98,11.41,,,,,
526,75-21,SFZ12,,,SFZ12 1095-189L,,16 33 48.13,-47 52 52.8,336.5269,-0.0533,WC7:,SFZ12,,,,,,,,,,13.24,10.43,9.62,9.35,,,,1.26,RC20
527,75-10,SFZ12; MDM11,,,MDM11 25,SFZ12 1097-156L,16 34 57.45,-47 04 13.0,337.26,0.35,WN6; WN5-6b; WN6b,SFZ12; MDM11; RC15,,,,,,,,,,,13.75,11.71,10.46,,,,,
529,75-22,SFZ12,,,SFZ12 1097-71L,,16 35 44.37,-47 19 42.2,337.16,0.08,WC9,SFZ12,,,,,,,,,,,15.28,13.72,12.04,,,RM10 SFC37?,,
530,75-13,SFZ12; MDM11,,,MDM11 28,SFZ12 1097-34L,16 35 51.16,-47 19 51.3,337.166,0.064,WC8,"SFZ12, MDM11",,,,,,,,,,,13.6,11.67,10.39,,,RM10 SFC37?,,
531,75-23,SFZ12,,,SFZ12 1106-31L,,16 37 23.98,-46 26 28.8,338.0024,0.4666,WC9,SFZ12,,,,,,,,17.78,15.29,13.8,10.27,9.59,8.93,,,,3.17,RC20
532,75-24,SFZ12,,,SFZ12 1105-76L,,16 38 20.18,-46 23 43.8,338.14,0.38,WC8,SFZ12,,,,,,,,,,,14.77,12.74,11.48,,,,,
533,76-10,SFZ12,,,SFZ12 1109-74L,,16 40 17.12,-46 20 09.7,338.41,0.17,WC7:,SFZ12,,,,,,,,,,,16.92,13.1,11.25,,,G338.4+0.2/RM10 SFC39?,,
534,77-5,SFZ12,,,SFZ12 1115-197L,,16 43 40.37,-45 57 57.7,339.0778,-0.0309,WN6,SFZ12,,,,,,,,18.2,16.73,14.69,10.56,9.71,9.14,,,,2.18,RC20
535,77-6,SFZ12,,,SFZ12 1138-133L,,16 51 19.33,-43 26 55.3,341.8768,0.5593,WN6; WN6b,SFZ12; RC15,,,,,,,,,,19.99,13.56,11.93,10.95,,,,1.96,"RC20 (n, a flags)"
536,77-7,SFZ12,,,SFZ12 1133-59L,,16 51 29.69,-43 53 35.3,341.55,0.25,WC9,SFZ12,,,,,,,,,,,14.73,13.46,12.06,,,,,
537,82-1,SFZ12,,,SFZ12 1168-91L,,17 09 32.64,-41 29 47.3,345.48,-0.88,WC7:,SFZ12,,,,,,,,,,,15.13,13.43,11.84,,,,,
538,83-1,SFZ12,,,SFZ12 1179-129L,,17 11 00.81,-39 49 31.4,346.9945,-0.116,WC6:,SFZ12,,,,,,,,,,20.46,15.26,13.89,12.81,,,,1.75,"RC20 (n,e,a flags)"
539,84-2,SFZ12,,,SFZ12 1181-82L,,17 11 28.52,-39 13 16.8,347.53,0.17,WC8,SFZ12,,,,,,,,,,,13.98,12.2,10.98,,,G347.6+0.2,,
540,84-3,SFZ12,,,SFZ12 1181-81L,,17 11 36.12,-39 11 07.9,347.58,0.17,WC8,SFZ12,,,,,,,,,,,13.35,12.08,10.84,,,G347.6+0.2,,
541,84-4,SFZ12,,,SFZ12 1181-211L,,17 11 46.13,-39 20 27.8,347.4711,0.053,WN7; WN7ha,SFZ12; RC15,,,,,,,,20.75,17.7,15.34,10.88,10,9.49,,,,2.1,RC20
542,84-5,SFZ12,,,SFZ12 1189-110L,,17 14 09.56,-38 11 20.9,348.68,0.35,WC9,SFZ12,,,,,,,,,,,14.34,12.78,11.59,,,,,
543,94-1,SFZ12,,,SFZ12 1245-23L,,17 33 33.22,-32 36 16.4,355.52,0.24,WC9,SFZ12,,,,,,,,,,,15.99,12.59,10.76,,,,,
544,98-1,SFZ12,,,SFZ12 1269-166L,,17 41 13.51,-30 03 41.1,358.54,0.22,WC8,SFZ12,,,,,,,,,,,13.52,11.7,10.56,,,,,
545,100-3,SFZ12,,,SFZ12 1275-184L,,17 44 06.89,-30 01 13.2,358.9,-0.29,WN8,SFZ12,,,,,,,,,,,13.9,11.52,10.17,,,,,
546,102-19,SFZ12,,,SFZ12 1322-220L,,17 55 20.21,-24 07 38.4,5.2427,0.5991,WN5,SFZ12,,,,,,,,19.93,,16.13,11.84,10.95,10.32,,,,2.39,RC20
547,102-20,SFZ12,,,SFZ12 1327-25L,,17 59 02.85,-24 20 50.7,5.4765,-0.2432,WC9,SFZ12,,,,,,,,,,20.4,13.78,12.38,10.89,,,,1.92,"RC20 (e,a flags)"
548,102-21,SFZ12,,,SFZ12 1342-208L,,17 59 48.22,-22 14 52.3,7.3836,0.6518,WN6,SFZ12,,,,,,,,,,16.45,11.4,10.29,9.47,,,,2.11,RC20
549,111-6,SFZ12,,,SFZ12 1381-20L,,18 12 57.27,-18 01 20.7,12.58,0.02,WC9,SFZ12,,,,,,,,,,,14.24,13.35,10.75,,,,,
550,111-7,SFZ12,,,SFZ12 1395-86L,,18 16 02.36,-16 53 59.4,13.92,-0.09,WC8,SFZ12,,,,,,,,,,,18.08,13.96,11.85,,,,,
551,114-2,SFZ12,,,SFZ12 1434-43L,,18 23 32.32,-12 03 58.7,19.0332,0.5939,WC8,SFZ12,,,,,,,,,,20.04,14.45,12.9,11.69,,,,1.81,"RC20 (n,e,a flags)"
552,115-2,SFZ12; MDM11,,,MDM11 35,SFZ12 1431-34L,18 25 53.62,-12 50 03.2,18.6231,-0.2733,WN8,SFZ12; MDM11,,,,,,,,20.65,,17.22,11.53,10.13,9.28,,,,2.14,RC20 (a flag)
553,118-4,SFZ12; MDM11,,,MDM11 39,SFZ12 1463-7L,18 33 47.63,-09 23 07.9,22.5772,-0.3912,WC8,SFZ12; MDM11,,,,,,,,,,18.63,12.18,10.52,9.36,,,RM10 SFC5?,2.34,"RC20 (e,a flag)"
554,118-7,SFZ12,,,SFZ12 1477-55L,,18 35 47.7,-07 17 50.1,24.66,0.13,WC9,SFZ12,,,,,,,,,,,15.91,12.89,11.01,,,G24.78+0.08/RM10 SFC10?,,
555,118-8,SFZ12,,,SFZ12 1487-80L,,18 38 00.49,-06 26 46.1,25.67,0.03,WC9,SFZ12,,,,,,,,,,,15.63,13.02,11.29,,,RM10 SFC12?,,
556,118-6,SFZ12; MDM11,,,MDM11 41,SFZ12 1483-212L,18 38 27.21,-07 10 45.2,25.0665,-0.4002,WN7:,SFZ12; MDM11,,,,,,,,,,20.33,13.64,11.73,10.59,,,,2.29,"RC20 (n,a flag)"
557,118-9,SFZ12,,,SFZ12 1489-36L,,18 38 38.94,-06 00 16.0,26.13,0.1,WC9,SFZ12,,,,,,,,,,,14.78,13.04,11.15,,,RM10 SFC12?,,
